siren,Chiffres d’affaires nets,"Impôts, taxes et versements assimilés"
414381475,2404417,14456
420210577,347046,4485
527710172,866844,46139
420210577,269327,2568
492952080,25380,742
392031902,299945,184
420210577,156270,1024
499494821,110382,NA
500031919,NA,155
524584810,21600,68228
381350685,NA,607
392031902,270649,329
420210577,82071,1303
421635939,1341351,12661
428208193,400,889
431747450,50076,684
500031919,NA,NA
503436040,27992581,257975
509289203,594538,3742
512195744,NA,444
527866529,58507,1603
5980016,2437311,47428
36820348,956901,15860
58807413,24000,654
64802101,NA,8117
85581494,367220889,2293351
86080702,4664794,162589
300817087,120388,3057
301420469,68154341,957859
302137435,6164853,148682
302454350,330714,3856
302517917,42201022,590029
302565049,2462113,206934
302640453,459960,4769
304557861,1937719,9930
305118945,4614938,76518
305306177,328338,29264
305663296,NA,NA
305821225,16882995,256782
306138868,400268,8978
307047910,789416,69102
308338383,56293,8235
308800556,6812,1701
309172518,429891,8102
309382661,64753,401
309989705,929988,5541
311059034,569762,3297
311349500,209160,2419
312197130,6396718,57557
313549891,NA,775
313671109,550979,4023
314239021,113779,6548
314419466,56573,2781
314889544,1576733,53631
314974585,490212,3725
315250878,510843,9457
316190172,191681,3473
316916790,NA,NA
317409423,531708,36095
317782571,501574,19745
318843240,NA,11901
318908621,NA,2235
319427126,1514083,15439
319528444,NA,NA
319567426,109002,1259
319673281,147755,1419
319773172,515001,2913
320378144,4576179,359254
320772510,511576510,15221247
321111999,6473173,101691
322131830,106675,648
322202250,1865557,8625
322366600,2620175,117138
322566092,1242787,10847
322983420,1547699,21494
323790949,NA,2244
324081439,9600927,37031
325114064,1347195,17837
325528057,492358,6732
325931970,468919,7715
325932093,65000,601
326332483,24564309,251228
326638061,1583722,21853
326715893,1059755,5775
326716040,1396293,6327
326717543,59336,1712
326765914,997098,25238
326923414,29297,588
326979770,38864,NA
327796124,119505,71
327822482,198729,1965
327893228,250508,NA
327977153,2674671,10890
328170337,2275929,23568
328223615,684891,4880
328263371,743847,7748
328398862,3892265,42003
328612197,371589,1614
328986849,4575242,77516
329025365,82393,2899
329922785,610339,4562
330430646,NA,137238
330598202,51324685,726019
330714569,2839529,19483
331456012,NA,965
331476671,2524289,2860
331662916,8455,71
331832675,46963286,206837
332626860,276948,4925
333072833,6488287,52901
333306801,5583840,177385
333385037,2126579,38119
333634160,6769260,178401
333821528,900061,11556
334203999,413232,8598
334501335,1785528,29694
334515038,NA,NA
334766599,29149,2120
335039145,4744326,179505
338029994,NA,636
338224629,12064130,300984
338418296,517213,13083
338748536,2704173,23061
338797582,4074919,20689
339095549,101047,1103
339278509,507188,NA
339425514,142950,2599
339563645,1161919,9257
340347384,64237,1316
340383074,512614,4393
340409713,9273247,159155
340515659,98461,400
341084507,58839,4939
341139434,689171,14800
341715886,401881,13456
341792455,306236,5460
341824084,907711,15613
342030665,4050737,26812
342501392,NA,NA
342584117,2118647,39805
342613874,NA,NA
342992195,23705,71
343152658,92411,1326
343165205,678250,NA
343622643,NA,NA
343802534,328846,1761
343855755,NA,224
344055827,208291,3016
344122296,735053,817
344733324,327187,3635
345171250,171016,1750
345176051,191024,517
345202147,1698361,-6718
347422982,15000,1737
347667438,312610,6063
347767790,4419178,128179
348112863,1067696,10057
348518093,NA,9258
348841263,3549038,7231
348896259,NA,683
348918012,532098,2984
348996521,830107,4589
349007351,114977,1726
349099861,758581,34596
349181206,566513,6545
349374868,1789910,34028
349397877,112619,12709
349486936,618091,26159
349797225,985489,3128
349884197,NA,71
350004610,368732,825
350083598,258564,5736
350131835,1184165,17823
350222071,NA,662
350358271,154031,1868
350481610,NA,NA
350665022,126974774,1586483
350802831,85195,616
350828729,293193,3864
350939070,61019552,214923
351209911,619505,14319
351226378,335186,16918
351338462,117803,7229
351536099,325209,3556
351560347,1047588,35385
352068258,82191,2901
352128870,531023,2350
352160691,1782328,8757
352205207,22141,593
352407860,415037,4845
353148059,288106,387
353211428,287681,7275
353339179,250163,8013
353498405,186089,1268
353553266,15937,764
353910516,518761,3633
353948763,793138,2510
354067472,908800,36235
354073736,1025658,14896
367500014,NA,10076
377880919,59779,NA
377899893,9187008,204970
378429690,149635,458
378526206,958917,4628
379072200,383537,1898
379166325,82915335,920656
379441546,NA,346
379456973,146604,954
380030320,83418,19955
380405530,53875,474
380497214,16250,NA
380792440,4910754,NA
381350685,9000,2194
381352707,76830,2880
381491919,85713,14841
381653625,188478,6139
381692565,1948232,24441
381905140,789580,10836
381979855,710174,21926
382338267,5929254,76140
382445922,10829959,40946
382698876,3291683,27140
382827384,161269,4462
383006525,276687,21779
383127990,151142,2675
383299989,73820,71
383409059,621225,113239
383471786,43069,1492
383486065,414599,9929
384026951,350300,7937
384033908,1657543,53692
384037917,137426,1214
384111894,6976943,NA
384182226,685047,NA
384307732,NA,2095
384394094,1100101,26486
384439113,2572022,9646
384525622,217820,2257
384867156,3086728,32807
384906418,1458570,25490
385091210,1751695,21497
385254008,77085829,924903
385259817,1445447,12008
385337498,17159614,109106
387888894,NA,4150
387978356,30011251,209813
388415739,370328,2914
388777393,798533,9759
388797938,1116311,11312
389126541,292393,2674
389244518,233863,2676
389352659,443266,4888
389478041,1016307,11028
389652116,NA,561
389874751,4071615,154599
389893462,642214,17996
389901703,911897,2590
390013944,10711,62
390032480,318820,5754
390184380,400837,16298
390197333,497128,4243
390236669,66059,4044
390328730,470291,4274
390337848,56833,7680
390702801,614700,1985
390733673,NA,2000
390946549,NA,NA
390967859,137270,657
391529948,168853,1517
391530755,779509,5776
391552932,227301,25075
391940731,449798,6617
392031902,333283,925
392089967,2126524,9139
392359311,1309876,8929
392371936,119004,1190
392414074,2180194,103460
392447587,335416,1970
392474862,7950,740
392487062,1191542,8663
392541686,652834,4669
392657714,50269,3355
392693784,248057,3272
392710620,121182,984
393162565,844987,26604
393326673,299100,1417
393410170,16943,66
393578745,93574,82
393725452,314062,4989
393938550,293142,1011
393940838,23617,NA
393941729,361897,11075
393945522,471591,4860
394125561,45964,1251
394188726,507949,611
394395552,NA,71
394442560,171832,3034
394745202,153307,8084
394746929,233472,283913
394790430,109043738,515863
395086051,114000,16283
395160617,109320,788
395180177,1152220,42500
395187719,47042,4730
395293996,217634,2151
397528803,210794,-156
397632159,1045894,21125
397932658,10376869,89141
398054817,56204,1184
398183152,1055639,7774
398645663,697100,5989
398686865,200065,3554
398827253,269362,1214
398948232,3247388,54971
399002997,1822668,7921
399076991,370877984,1057686
399121433,300944,9090
399127729,843811,5502
399140961,4590039,51066
399150093,637821,6286
399201391,242389,6850
399248251,399096,14311
399334283,480223,5148
399366574,109815,458
399434612,629165,11007
399714955,257759,657
399730951,1015688,5069
399742865,168407,3006
400013868,178440,15562
400096475,602518,18668
400132775,714007,19951
400160933,384614,12412
400181046,338183,8740
400430047,100870,9862
400752077,2189183,31908
400966834,1298471,14157
401007414,163249,5080
401268479,113062,10715
401467576,77103,1654
401716907,160641,762
401852777,797194,27516
401904701,109799,5378
402065106,79643,6854
402170849,NA,NA
402281760,23797338,246420
402281919,201883,608
402363527,770940,3183
402737936,1006856385,555305
402776322,441025146,1239855
403001431,1689860,29412
403461742,6187527,180437
403552797,60513,1336
403729197,754355,43918
403858848,362145,6647
404207219,83177,671
404288466,40225,483
404318800,30790,NA
404352122,192495,9873
404362097,324256,10627
404393076,184767,459
404525065,574977,15003
404573511,174356,3999
404723611,619677,NA
405401787,481601,5816
407505924,174399,372
408024115,38094820,1559889
408035137,NA,NA
408047876,73157,341
408124147,3188292,213692
408181345,614276,3885
408299816,196404,8349
408402485,137124,283
408865749,627293,6344
408893303,766693,10118
408963908,1076047,12927
409142981,6410623,176946
409287760,671142,5038
409584406,1321978,25432
410102578,371704,NA
410127948,86220005,2278715
410288187,20487,319
410410336,23138212,612856
410508014,508531,4733
410675466,1329612,7889
410806129,NA,247
410969943,1848230,12176
410971584,428177,3644
411199151,2720707,21258
411423957,14325,NA
411473556,208669,2435
411486731,40040,71
411487085,NA,NA
411709017,280983,5088
411918311,645275,8136
411959968,181103,759
412022733,3076674,111648
412128365,825883,32142
412163651,1547082,14015
412272601,25084,823
412524928,NA,11147
412530008,373013,1669
412566994,296085,3188
412605362,179668,1544
412628190,506781,4782
412879306,383052,14313
412941684,53349,71
413096546,14536,649
413137936,80000,-1943
413142696,NA,NA
413158858,1111909,5132
413511809,709563,2804
413704248,3000,71
413933458,NA,345
414089011,5000,437
414419036,624772,NA
414482901,182527,1097
414514224,221599,622
414599506,672095,3419
414660837,666690,8264
414709774,244403,28060
414807206,349,71
414946772,145200,12716
414980417,3556278,103554
417602794,142937,2371
417765344,285208,4718
417771458,773604,9307
417890134,NA,NA
418100285,NA,71
418267522,153373,955
418366316,629873,6907
418489472,1271780,6262
418510848,89477,6454
418658886,774221,16687
418875969,599366,5955
419022165,568174,15990
419043492,NA,1300
419373055,1142890,2996
419591037,-11770,796
419606405,NA,NA
419830617,244930,5264
419833652,7082368,NA
419993282,1256652,30353
420119059,NA,5423
420210577,131145,798
420259640,411632,4235
420310492,148139,NA
420377772,30244,699
420611279,117625,722
420623431,239083,7512
420687733,676800,11629
420700213,502950,4048
420776544,18273,71
420843690,355130,1468
420874133,44919,5764
421292293,487327,714
421296039,225260,1698
421361726,341786,7112
421384470,4891320,54178
421389453,61486621,429589
421401910,171641,767
421499013,921666,4080
421632530,219401,6741
421752825,412550,636
421777624,1477826,87077
421930405,285795,3651
421935099,NA,NA
422040790,NA,1291
422068551,77547,1570
422114215,76200,4294
422274811,1594965,23867
422296061,521643,1542
422336404,NA,25932
422588434,261077,4672
422788380,337775,1026
422876557,680653,9151
423052026,6401980,156298
423419027,288300,3728
423437953,5594760,101338
423535764,561572,5818
423661560,760203,3564
423724319,3685989,116885
423762814,14313603,764616
423955004,2840768,9095
423986447,318576,1697
424009637,NA,560
424119246,6829126,NA
424190114,179780,NA
424231165,1258722,12338
424461952,647695,12959
424561603,175712,11981
424631398,123535,2010
424670842,6600,70
424694958,287756,1232
424749778,1686544,17955
424758456,84130,8233
424760353,366187,3304
424813251,320701,3740
425108859,1326751,24739
428131544,123271,1152
428166201,2641319,41745
428171540,93676,71
428208193,800,788
428285639,NA,608
428288930,2213877,2770
428703896,114735996,308832
428744544,1552370,22253
428847545,405293,44623
429124969,411442,4556
429131089,333028,3261
429213929,31938152,417395
429228182,1829795,8382
429326200,2553544,24442
429472723,1193833,22939
429670003,707636,NA
429714587,1403488,28820
429885627,1036570,2675
429906159,NA,528
429994585,1970871,7724
430068221,87820,NA
430133959,191410,3057
430386466,1487110,24254
430416172,NA,62
430433193,1177482,35888
431288620,4928727,44044
431346147,80054,1235
431372051,603631,30260
431853035,NA,NA
431896356,121213,8105
432107472,166090,367
432167500,59288,372
432225803,4198909,68428
432259877,70227,563
432313021,731940,11251
432346716,206162,1929
432472413,1294315,8980
432524502,850,90
432684280,1893644,16818
432988913,345120,2974
433002458,34441,310
433313574,3178588,53177
433567799,8301173,23660
433641933,14775,261
433645694,NA,71
433818630,980176,8569
433842044,238812190,4916632
433887874,NA,NA
433912623,NA,261
434036042,9112514,428575
434036612,2686385,103587
434052064,77369,966
434352084,26986000,727000
434543088,4831873,88383
434578258,15833427,9334
434603841,1717474,5443
434657607,231520,2914
434856993,265690,1184
434897633,714515,NA
435092036,873940,4949
435126040,NA,119
435170667,238781,3913
437627052,1241618,89626
437662513,84985,1956
437733330,72,3870
437939879,593696,11984
437996036,928001,10971
438101677,989520,8950
438170979,NA,6509
438307183,NA,365
438312571,268938,2892
438448193,2390168,109611
438448490,2433787,117347
438450694,1865916,67135
438565285,73108,1369
438616583,174033,2640
438754467,NA,62
438768582,5517882,80564
438862153,3300,697
438895716,2712133,75108
438932501,83213,116
439102906,180027,2667
439124371,2635435,90671
